SubsonicArtistId,ArtistName,musicBrainzId,MSDID
2922,A.C.,c297aa6f-eec5-4794-a288-bd0ce079a408,
817,A.R. & Machines,0671c1a5-cae9-486e-aeaf-4eb2e1cd2d3b,
2953,A.S.A.P.,54e840e7-d6f9-4d97-9e45-c9d649eaaae5,
1238,Aaron Spectre,22a9be47-5579-44a5-8e90-deb937184793,
2406,Abazagorath,baf3237b-f142-4dd7-b6a4-0070f6abe1c0,
2407,Abazagorath/Bloodstorm,,
651,A Beautiful Machine,87c2b338-7af6-4004-9321-90460bb96bf4,
2408,Abendrote,,
897,Abigor,22b99651-3595-4790-9d9a-c3f8baeb06cc,
1549,Abject,e66f92b4-cf38-4d86-9114-a4dd0733038a,
2816,Aborted,5e13f1c0-6648-430d-92e8-6435119b0036,ARF041T1187FB3B4FF
2409,Aborym,741fef2a-c9ed-47fd-966a-eb911f488378,AREJFXY1187B9AF40C
1848,Abscess,fcf08e03-d872-43df-aaf0-392ff505fe7f,
669,Abstrusa Unde,0e68ed7b-78a8-4317-99c3-9ab406a59a63,
748,Absu,e4d0504d-a0cc-486e-9f8f-32da470698a5,ARX18RJ1187B9AEFB7
3203,Absurdity,909b6112-13ae-4778-9417-82d85640dbe2,
1849,Absurd Minds,979ce33b-4d8e-4e44-8c7e-f9d3054f4386,ARVK1WY1187B9BA160
2410,Abyssic Hate,4daca06a-d7b7-4368-bb33-9c09301cbef3,
2412,Abyssos,d6d316cd-2707-452b-b95d-883eaccf2776,
3462,AC/DC,66c662b6-6e2f-4930-8610-912e24c63ed1,ARWR05M1187B9951A2
2001,Acafool,7e1d2eaf-c394-4499-aef5-2543fa43c0fb,
1847,Access To Arasaka,339e444b-f0f3-472d-a62a-8f9aa602bae6,
2808,Accion Mutante,13c700ae-c941-4651-a373-39468631555f,
3335,ACDC,,
1467,acen,a4fe5665-f303-48ff-8e4e-ca59ec257401,
1468,Acen,a4fe5665-f303-48ff-8e4e-ca59ec257401,ARFK1SX1187FB4D0BE
953,A Child s Garden of Grass,f177a135-5c70-4615-9127-9cb434dd0e8c,
3102,Acid King,1fc5d8e8-240c-4c0e-85b5-d5a2650a362c,ARO614F1187B98C0C4
3936,Acid Mothers Gong,ad98a946-d58b-4af8-b6de-5d7ee844d0ee,
